Expected,Predicted
buluyor olmamalıydım,buluyor olmamalıydım
çakalınızın,çakalınızın
kanıtlıyor olmaz mıydın,kanıtıyor olmaz mıydın
diziyor olurdu,diziyor olurdu
ayrımcılığının,ayrımcılığının
çarmıha germe,çarmıha germe
yağlamadı mı,yağlamadı mı
hastalıkta,hastalıkta
sürüleceğim,sürüleceğim
çarmıha geriyor olacak mıydık,çarmıha geriyor olacak mıydık
yıldırımına,yıldırımına
ekşitmemişmişiz,ekşitmemişmişiz
kurulunda,kurulunda
çakılınızdan,çakılınızdan
vermemeli miymişsiniz,vermemeli miymişsiniz
çizmiş olacaksınız,çizmiş olacaksınız
kuvvetinizin,kuvvetinizin
eşzamanlı dönüşümüzün,eşzamanlı dönüşümüzün
üzüyormuşuz,üzüyormuşuz
kompleks sayısı,kompleks sayısı
forumdaşlarında,forumdaşlarında
yanıt vermiyorsun,yanıt vermiyorsun
kusmamış mıydın,kusmamş mıydın
süslerdik,süslerdik
haberleşmediydik,haberleşmediydik
çıldırtıyor,çıldırtıyor
gülünçleşmemiş miydiniz,gülünçleşmemiş miydiniz
çalışıyor olmayacak mıydı,çalışıyor olmayacak mıydı
sevişiyor olmayacağım,sevişiyor olmayacağım
eğleniyor olmalıydın,eğleniyor olmalıydın
can veriyor olmayacak mıydınız,can veriyor olmayacak mıydınız
katılaşmamış mıydınız,katılaşmamış mıydınız
çizgili sineğinde,çizgili sineğinde
giymediniz mi,giymediniz mi
yaptırtmış olacaktın,yaptırtmış olacaktın
kaynaştırtmelisin,kaynaştırtmelisin
soyuyor olmayacaklar mıydı,soyuyor olmayacaklar mıydı
kurtarmamış mıydı,kurtarmamış mıydı
çıldırtmadılar mı,çıldırtmadılar mı
tatlılarımız,tatlılarımız
dövüyor olmayacakmışım,dövüyor olmayacakmışım
ilginç değil miydiniz?,ilginç değil mi?
tozlardınız,tozlardınız
öpüşüyor,öpüşüyor
delmem,delmem
yapıyor olmayacaktık,yapıyor olmayacaktık
şaşıyor olurdu,şaşıyor olurdu
temsilcinden,temsilcinden
güvenmeyecek miymişsiniz,güvenmeyecek miymişsiniz
kirletiyor olmaz mıydık,kirletiyor olmaz mıydık
itiliyor olmalıydım,itiliyor olmalıydım
abartmadım,abartmadım
aikidolarınızdan,aikidolarınızdan
dirilir olmayacak mıymış,dirilir olmayacak mıymış
bozuyor olmalıyız,bozuyor olmalıyız
çalgılardı,çalgılardı
yendirmeliyiz,yendirmeliyiz
yaptırtmış olmayacak mıydı,yaptırtmış olmayacak mıydı
tükürmüş olmayacak mıydı,tükürmüş olmayacak mıydı
eskimeliyiz,eskimeliyiz
köpürtmemeliymişsiniz,köpürtmemeliymişsiniz
bozar mıymışız,bozar mıymışız
kullanacakmışsınız,kullanacakmışsınız
sanıyor olmalı mıydın,sanıyor olmalı mıydın
şamarlıyor muymuşsunuz,şamarıyor muymuşsunuz
ölmeyecekmiş,ölmeyecekmiş
duruyor olacaktınız,duruyor olacaktınız
yazar,yazar
sayacak olacak mıymışım,sayacak olacak mıymışım
çağıracaklar mı,çağıracaklar mı
köpürmez miymişsin,köpürmez miymişsin
barışları,barışları
ısınıyor olmalı mı,ısınıyor olmalı mı
sanıyor muymuşum,sanıyor muymuşum
sağmamış mıydın,sağmış mıydın
sabit diskinin,sabit diskinin
Hakk'ın rahmetine kavuşmamış mıydı,Hakk'ın rahmetine kavuşmamış mıydı
gafletlerinizden,gafletlerinizden
kılıflara,kılıflara
inanacak olacaklar mı,inanacak olacaklar mı
acıktırmayacakmış,acıktırmayacakmış
birleştiriyor olmamalı mıymışsın,birleştiriyor olmamalı mıymışsın
bekletecek olmayacak mı,bekletecek olmayacak mı
sikişiyormuşuz,sikişiyormuşuz
mezarlıklarmışız,mezarlıkmışız
özlemlerimiz,özlemlerimiz
yıkayacak mı,yıkayacak mı
canlandırıldı mıydınız,canlandırıldı mıydık
üzmemişmişiz,üzmemişmişiz
kuralımızın,kuralımızın
katılmameli mi,katılmameli mi
kılığınızdan,kılığınızdan
tıraş olmuş olacaktınız,tıraş olmuş olacınız
ilginçmişim,ilginçmışım
yetiştirmemelisin,yetiştirmemelisin
kraliçe arılarda,kraliçe arlarında
ekstremumlara,ekstremumlara
paylaştırmandan,paylaştırmandan
ayrılmalı mıymış,ayrılmalı mıymış
aşık atıyordun,aşık atıyordun
bataryalardın,bataryalardın
gerekmiyormuşsunuz,gerekmiyormuşsunuz
acıktırtıyor olacak mıydım,yaptırtıyor olacak mıydım
atılmaz,atılmaz
paylaşıyor olmayacaktınız,paylaşıyor olmayacaktınız
sözcünüzü,sözcünüzü
orta yaş krizlerinde,orta yaş krizlerinde
büyüyor muydun,büyuyor muydun
atmameli miyiz,atmameli miyiz
canlandırılmalı mıymışsınız,canlandırılmalı mıymışsınız
tornavidandan,tornavidandan
sindiriminize,sindiriminize
yaymış olacaksınız,yaymış olacaksınız
jeolojilere,jeolojilere
çölünde,çölünde
cumhurlarmış,cumhurlarmış
sahiplerimize,sahiplerimize
öldürmediler miydi,öldürmediler miydi
kapı yapıyor olmalılardı,kapı yapıyor olmalılardı
köpürtür olacakmışsın,köpürtür olacakmışsın
kaynaştırmıyor musunuz,kaynaştırmıyor musunuz
dizeleri,dizeleri
seks yapmaz mıymışsın,seks yapmaz mıymışsın
yontuluyor olmayacak mıydık,yontuluyor olmayacak mıydık
fotoğraf çekmemiş miymişim,fotoğraf çekmemiş miyim
sığmamış mı,sığmamış mı
takmadım mı,takmadım mı
soğuyor olmamalıydım,soğuyor olmamalıydım
acıktırtıyor olmayacağım,acıktırtıyor olmayacağım
acıktırtmayacağım,acıktırtmayacağım
büktürmeyecek miydin,büktürmeyecek miydin
taklitlerinizde,taklidlerinizde
utanıyor olmalı mıydık,utanıyor olmalı mıydık
solumuşlar,solumuşlar
patlamış olmayacağız,patlamış olmayacağız
arzularımızı,arzularımızı
savaşıyor olur muydunuz,savaşıyor olur muydunuz
düşmanlarmışsın,düşmanlarmışım
yapmış olmayacak mıydı,yapmış olmayacak mıydı
sattırtmamış,sattırtmamış
çevirmiyordun,çevirmiyordun
uğratıyor olmamalılar mı,uğratıyor olmamalılar mı
kaynamadın,kaynamadın
bıçaklamazmışsınız,bıçaklamazmışsınız
doğururlar mı,doğirirler mi
yendirtmediniz mi,yendirtmediniz mi
şişmezler mi,şişmezler mi
mügelermişim,mügelermişim
mezarlıklara,mezarlıklara
büktürürler mi,büktürürler mi
avcı sineğine,avcı sineğine
gülünçleşir olmayacakmışsın,gülünçleşir olmayacakmışsın
katılaşıyor muymuşsunuz,katilaşıyor muymuşsunuz
ispatlamamış mıymışsın,ispatlamamış mıymışsın
canlanmayacak olacaklar mı,canlanmayacak olacaklar mı
fakirleştirecekmişsiniz,fakirleştirecekmişsiniz
solucanlarından,solucanlarım
çıldırtmameli misiniz,çıldırtmameli misiniz
ateşe veriyor olmalı mı,ateşe veriyor olmalı mı
yaptırtacağım,yaptırtacağım
yumuyor muymuşuz,yumuyor muymuşuz
barışır mısınız,barışır mısınız
alışıyor olacaktın,alışıyor olacaktın
şelalemizden,şelalemizden
ilkelerinden,ilkelerinden
çalmış olacak mısın,çalmış olacak mısın
dadanmış olmayacak mısınız,dadanmış olmayacak mısınız
kaynamamalı mıymışsınız,kaynamamalı mıymışsınız
gidilmeyecek miydin,gidilmeyecek miydin
tıklar mıyım,tıklar mıyım
yedirecek olacak mıyım,yedirecek olacak mıyım
ittirtilirdi,ittirtilirdi
firavununuzu,firavununuzu
ekşimiş olmayacaklar,ekşimiş olmayacaklar
altdilinize,altdilinize
yayın,yayın
görüyor olmayacak mıydınız,görüyor olmayacak mıydınız
Mogadişuluları,Mogadişuluları
bıçaklıyor olacak mıydım,bıçaklıyor olacak mıydım
onarmamıştınız,onarmamıştınız
bilmiş miydiniz,bilmiş miydiniz
nefes aldırtıyor olmazdım,nefes aldırtıyor olmazdım
aldatmayacak mısın,aldatmış mısın
satıyor olmalıydım,satıyor olmalıydım
kurallarının,kurallarının
boyuyor olmalılardı,boyuyor olmalılardı
osurur olmayacakmışız,osurur olmayacakmışız
sıçanınızın,sıçanınızın
yenildik mi,yenildik mi
kırdırtmazsın,kırdırtmam
saklanacak olacakmışsınız,saklanacak olacakmışsınız
eğilmediydiniz,eğilmediydiniz
temsilciliklere,temsilciliklere
birleştirtecek olacakmışız,birleştirtecek olacakmışız
girecek olmayacak mıymışsın,girecek miymişsin
klişelerdi,klişelerdi
parasızlıklarınızda,parasızlıklarınızda
silkmezdin,silkmezdin
cümlelermiş,cümlelermiş
papaz olmuş olmayacaklar mıydı,papaz olmuş olmayacaklar mıydı
karadullarımıza,karadullarımıza
bulaacak olacakmışsınız,bulacak olacakmışsınız
atışıyor olmayacaklardı,atışıyor olmayacaklardı
katılmeliler,katılmeliler
salmamalıymışsın,salmamalıymışsın
ayarlattıracak mıydım,ayarlattıracak mıydım
örtmediniz mi,örtmediniz mi
avokadolarından,avokadolarından
şaşıyor olmayacağız,şaşıyor olmayacağız
sözleşmelerinizde,sözleşmelerinizde
kazmış mıymışım,kazmış mıymışım
daldırmamış mıydım,daldırmış mıydım
utandıracak olacakmışsınız,utandıracak olacakmışsınız
giymez miymişsin,giymez miymişsin
gecikiyor olurduk,gecikiyor olurduk
postu deldirme,postu deldirm
insan-ı kâmillere,insan-ı kâmillere
sığıyor olacaktınız,sığıyor olurdunuz
uçuyor olur muydu,uçuyor olur muydu
umuru,umuru
uğratmaz mıymışım,uğratmaz mıymışım
ahizelerimizi,ahizelerimizi
şuurlarınızda,şuurlurunuzda
şaşılırdınız,şaşılırdınız
nalları dikiyor musun,nalları dikiyor musun
ekstremumunun,ekstremumunun
yalvarıyor olmayacak mıydım,yalvarıyor olmayacak mıydım
seks yapmamıştı,seks yapmamıştı
uluyor olmamalıydınız,uluyor olmamalıydınız
yerecekler miymiş,yerecekler miymiş
sekmez miydim,sekmez miydim
sınırı,sınırı
atırıyor olmayacakmışsın,attırıyor olmayacakmışsın
güzelleştirmiş olmayacaklar mıydı,güzelleştirmiş olmayacaklar mıydı
laternamızdan,laternamızdan
binecek miymişsin,binecek miymişsin
saydırmazdın,saydırmazdın
gözlemiş olmayacaklar,gözlemiş olmayacaklar
yerlermişsiniz,yerlermişsiniz
fevt olmaz mıyız,fevt olmaz mıyız
irdelemeyecek,irdelemeyecek
götürmemeli misin,götürmemeli misin
kafes bileşiğinizi,kafes bileştinizi
deşecek olacakmışız,deşecek olacakmışız
ağlar mıydın,ağlar mıydın
heyecanlandırıyor olmayacaktın,heyecanlandırıyor olmayacaktın
havlu atmameliler mi,havlu atmameliler mi
güveniyor olacak mıydık,güveniyor olacak mıydık
çıngırağı çekiyor olmalısın,çıngırağı çekiyor olmalısın
buharlaşacakmışsınız,buharlaşacakmışsınız
bükecek,bükecek
satın almameli misin,satın almameli misin
atışmaz mıydı,atışmaz mıydı
peynirli pastası,peynirli pastası
büküyor musun,bükeyor musun
kıyıyor olmalı mıymışsın,kıyıyor olmalı mıymışsın
ölçtürtmüş olmayacak mıydık,ölçtürtmüş olmayacak mıydık
yardımcılardın,yardımcılardın
saklanıyor olmayacak mıydı,saklanıyor olmayacak mıydı
çatalınızı,çatalınızı
mastürbasyonda,mastürbasyonda
sapar olacak mıymışsınız,sapar olacak mıymışsınız
güttü müydünüz,güde miydiniz
soyar mıyım,soyar mıyım
mahzeniniz,mahzeniniz
karıştırmamış mı,karıştırmış mı
çiftmişiz,çifttik
işitmemeli miymişsin,işitmemeli miymişsin
süt sağmeliler mi,süt sağmeliler mi
birlikteliğinde,birlikteliğinde
taklitçi oluyor,taklitçi oluyor
makyaj yapıyor olmayacak mıydım,makyaj yapıyor olmayacak mıydım
binmiş mi,bindi mi
kaşıyor olacaktın,kaşıyor olacaktın
zağarınız,zağarınız
salmazlar mıydı,salmazlar mıydı
kırdırır mıymışsın,kırdırır mıymışsın
sapanız,sapanız
uyanmadıydım,uyanmadıydım
ilerletiyor olmayacaklardı,ilerletiyor olmayacaklardı
keser olacakmışım,keser olacakmışım
kapamalardık,kapamalardık
pisletmemiştin,pisletmemiştin
uğratılmamış mıymışsın,uğratılmış mıymışsın
yolunduruyor olmayacak mıydı,yolunduruyor olmayacak mıydı
gününün,gününün
yontmuş olmayacaktım,yontmuş olmayacaktım
bükülmeliymişsiniz,bükülmeliymişsiniz
seslenmişti,seslenmişti
kış uykusuna yatmış olacaktın,kış uykusuna yatmış olacaktın
çıkmaz sokağında,çıkmaz sokağında
atıştırmayacaksın,atıştırmayacaksın
cezalandırır mıydın,cezalandırır mıydın
bitirmiş olacağız,bitirmiş olacağız
çatmamış mıydım,çatmamış mıydım
yontuluyor olmalıydın,yontuluyor olmalıydın
acıkacaktın,acıkacaktın
eğitmez miymişsin,eğitmez miymişsin
eğilmiş miydiniz,eğilmiş miydiniz
kazmıyorlar mıymış,kazmıyorlar mıymış
veterinerinize,veterinerinize
öğreniyor olmayacak mıydınız,öğreniyor olmayacak mıydınız
kapmış mıydı,kapmış mıydı
nedeninde,nedeninde
bağlamış olmayacak mısınız,bağlamış olmayacak mısınız
kakacak olmayacak mıymışsınız,kakacak olmayacak mıymışsınız
geciktiriyor olmalıydınız,geciktiriyor olmalıydınız
kıyafetmişiz,kıyafetmişiz
dolmadıydınız,dolmadğtınız
karıştıracaktık,karıştıracaktık
boşalmışım,boşalmışım
alışmamış mıyız,alışmamış mıyız
bıkıyor olacağım,bıkıyor olacağım
ispatlıyor olacak mısın,ispatlıyor olacak mısın
gülünçleşmemiş miydin,gülünçleşmemiş miydin
bıkacak olacakmışsınız,bıkacak olacakmışsınız
hareket ediyor olmamalıyım,hareket ediyor olmamalıyım
seks yapacak olacakmışım,seks yapacak olacakmışım
dondurmalı mıymışsın,dondurmalı mıymışsın
fotoğraf çekiyor olmalıydın,fotoğraf çekiyor olmalıydın
sattırtmış olmayacak mısın,sattırtmış olmayacak mısın
kuruyor olmamalıydım,kuruyor olmamalıydım
sararıyor,sararıyor
söyleşiniz,söyleşiniz
dayıyor olmamalı,dayıyor olmamalı
gelinmemişmiş,gelinmemişmiş
heyecanlandırtacak olmayacağım,heyecanlandırtacak olmayacağım
volkanınızda,volkunuzda
kavunlara,kavunlara
sitelerinde,sitelerinde
kazanıyor olmamalı,kazanıyor olmamalı
kapamadılar mıydı,kapamadılar mıydı
koyulaşmış mıymışım,koyulaşmış mıymışım
buharlaşmayacağız,buharlaşmayacağız
alındırmazsın,çırmazsın
kimyasal tepkimenizi,kimyasal tepkimenizi
yıkamıyorlar mıymış,yıkamıyorlar mıymış
gizleniyor olacaktın,gizleniyor olacaktın
kuyruğu titretiyor olmalıydınız,kuyruğu titretiyor olmalıydınız
sinematografınızdan,sinematografınızdan
toprak olurmuşuz,toprak olurmuşuz
barışmalıydın,barısmalıydın
mermilersiniz,mermisiniz
kaçacağız,kaçacağız
köpük belleğinden,köpük belleğinden
emmiymişler,emmiymiş
monoloğumuz,monologumuz
deviniyor olmamalıydın,deviniyor olmamalıydın
haberleşmez miydin,haberleşmez miydin
işçi,işçiyiz
yaratmış olmayacaktı,yaratmış olmayacak
yolunmuş olacak mısınız,yolunmuş olacak mısınız
sattırtmazlardı,sattırtmazlardı
gecikmişmişsiniz,gecikmişmişsiniz
parçalanmazdım,parçalanmazdım
isteecek olmayacakmışım,isteyecek olmayacakmışım
büküyor olmayacak mısın,büküyor olmayacak mısın
kullanılmamalı mıymışız,kullanılmamalı mıydık
canlandırmış olacaklar,canlandırmış olacaklar
süpürgeye,süpürgeye
boy ölçüşüyorlar mıymış,boy ölçüşüyorlar mıymış
sızıyor olacaklarmış,sızıyor olacaklarmış
boğar olacak mıymışız,boğar olacak mıymışız
vermiyor mu,vermiyor mu
cezalandırır olmayacaklar mıymış,cezalandırır olmayacaklar mıymış
interfazlarının,interfazlarının
kılmaz mısın,kılmaz mısın
gecikiyor olacak mısınız,gecikiyecek misiniz
örmezlerdi,örmezlerdi
cezalandırmalılar mıymış,cezalandırmalılar mıydı
karamelden,karamelinden
diferansiyel denklemini,diferansiyel denklemini
soğuruyor olmayacak mıyım,soğuruyor olmayacak mıyım
yabancı anahtarlarınız,yabancı anahtarlarınız
alırsınız,alarsınız
kullanılıyorsun,kullanılıyorsun
yörüngenin,yörüngenin
çürümüyor muymuş,çürümüyor muydu
sökmez miydin,sökmez miydin
sürünür müydük,sürüner miydik
kovuyor olacaktık,kovuyor olacaktık
buharlaşıyor olacak mısınız,buharlaşıyor olacak mısınız
cezalandırmayacaklardı,cezalandırmayacaklardı
hıçkırıklarınıza,hıçkırıklarınız
çıkarıyor olmalı mıymış,çıkarıyor olmalı mıymış
sekmeyecekmişsiniz,sekmeyecekmişsiniz
çarmıha germiş olacaktım,çarmıha germiş olacaktım
boşanır olmayacak mıymışsın,boşanır olmayacak mıymışsın
güveniniz,güvenmişsiniz
ermelilermiş,ermelilermiş
eriğini,eriğini
brokolilerinize,brokolilerinize
göndereceklermiş,göndereceklermiş
helikopterler,helikopterleri
sarılıyor olmayacaktım,sarılıyor olmayacaktım
istemcilersiniz,istemcilersin
bedevilerdi,bedevilerdi
objelermiş,objelermiş
sattırmelisiniz,sattırmelisiniz
işemiş olmayacak mıydım,işemiş olmayacak mıydım
yıpratmamışsın,yıpratmamışsın
penisilinlerinizi,penisilinlerinizi
nefes aldırtacaktım,nefes aldırtacaktım
ayakkabıymışlar,ayakkabıymış
canlandırıyor olmalıymışsın,canlırıyor olmalıymışsın
modelden,modelde
atılmış olmayacaksın,atılmış olmayacaksın
boz ayıymışlar,boz ayınız
ettirtmemeliydik,ettirtmemeliydik
atılır olmayacak mıymışsınız,atılır olmayacak mıymışsınız
süsmemeliydiniz,süsmemeliydiniz
kılın,kılının
sapmamalıydık,sapmamalıydık
ovmamalı mıydınız,ovmameli miydiniz
unutuyor olmamalıydın,unutuyor olmamalıydın
yolunduracak mıydık,yolunduracak mıydık
çıngırağı çekmemişiz,çıngırağı çekmemişiz
yağıyor olmazdı,yağıyor olmazdı
eğitimler,eğitimleri
dişleri,dişleri
zartayı çeker miydi,zartayı çeker miydi
can veriyor olmalıymışım,can veriyor olmalıydım
makaraları,makaraları
taklitten,taklidi
getirmemeli miydi,getirmemeli miydi
ellemişlerdi,ellemişlerdi
süzüyor olurdunuz,süzüyor olurdunuz
otuz bir çekermişim,otuz bir çekermişim
dalgalanıyor olacaklar,dalgalanıyor olacaklar
bir avuç toprak olmuşsunuz,bir avuç toprak olmuşsunuz
kalır olmayacak mıymışız,kalar olmayacak mıymışız
kanmış mıymış,kanmış mı
ejderhayım,ejderhayım
taklitçi olur muydunuz,taklitçi olur muydunuz
numaralamalarını,numaralamaları
sürüngeni,sürüngeni
yoldurtmamalı mıydınız,yoldurtmameli miydiniz
oyalamadılar,oyalamadılar
şaşılmadı mıydık,şaşılmadı mıydık
dövüyor olmayacaklar mıymış,dövüyor olmayacaklar mıymış
çobansın,çobanın
sevişecek olmayacak,sevişecek olacak
kaynaştırtılıyor olmayacaksın,kaynaştırtılıyor olmayacaksın
ezecek olacaklar mıymış,ezecek olacak mıymış
nalları dikiyor olmamalı mıymışım,nalları dikiyor olmamalı mıymışım
argo,argoyu
kullanıyor olmamalısınız,kullanıyor olmamalısınız
yaratmamalıymışım,yaratmamalıymışım
çökeleğinin,çökeleğinin
daldırtmıyor muymuş,daldırtıyor muymuş
kokuyor olmalı mıymışız,kokuyor olmalı mıymışız
eğleniyordum,eğleniyordum
büktürtülüyor olur muydun,büktürtülüyor olur muydun
kazmalarımızdan,kazmalarımızdan
süngülerin,süngülere
periymişler,periymiş
şimallerin,şimalların
kapamayım,kapamayım
badanalardan,badanalardan
getirmemişsiniz,getirmemişsiniz
çarmıhından,çarmıhından
aradınız mı,aradınız
kaynaştırtılıyor olmayacaklarmış,kaynaştırtılıyor olmayacaklarmış
savaşçılarınız,savaşçılarız
örmüş olacaksın,örmüş olacaksın
güzelleştirir olacakmışsınız,güzelleştirir olacakmışsınız
giymezdi,giymezdi
buzullarımızın,buzulumuzun
belleğini,belleğini
parçalanmanı,parçalanmanda
hava atıyor olmayacak mıymışız,hava atıyor olmayacak mıymışız
hava atacak olacak mıymışsın,hava atacak olacak mıymışsın
yeterliliklerimizde,yeterliliklerimizde
verdiriyor olmamalıymışım,veririyor olmamalıymışım
havlu atmıştım,havlu atmıştım
derecek olmayacaksınız,direcek olmayacaksınız
gerekiyor muydunuz,gerekiyor muydunuz
çökeriyor olacaklar mıydı,çökeriyor olacaklar mıydı
varıyordum,varıyordum
delecek olmayacakmışız,delecek olmayacakmışız
katılmayacaklardı,katılmayacaklardı
ittirilmiş olacaklar mıydı,ittirilmiş olacak mıydı
kırıtmayacak mıymış,kırıtmayacak mıymış
dizecekler,dizecekler
karıştırıyor olmamalı mıydınız,karıştırıyor olmamalı mıydınız
dokumayacak mıymışım,dokumayacak mıyım
şamarlamalı mıydım,şamarlamalı mıydım
kartalımızı,kartalımızı
topçusunda,topçunda
kaşımalılar mıymış,kaşımalılar mıydı
rahatsızlanmadı mıydı,rahatsızlanmadı mıydı
övüyor olmayacak mısınız,övüyor olmayacak mısınız
duş alıyor olmalıydı,duş alıyor olmalıydı
programlatmıyor musun,programlatmıyor musun
uyacak olmayacakmışız,uyacak olmayacakmışız
süründürtüyor olacak mı,süründürtüyor olacak mı
otostop çektiler,otostop çektilerdi
doluyor olmalı mıymışız,doluyor olmalı mıydık
vuruyormuşum,vuruyormuşum
yemişlerine,yemişlerine
gecikir miydim,gecikir miydim
serer olacaklarmış,serer olacakmış
taşmış olacaktık,taşmış olacaktık
bükmemelilermiş,bükmemelilermiş
evlenmemişler miymiş,evlenmemişler mi
soyuyor olacaktı,soyuyor olacaktı
kazımameliyiz,kazımameliyiz
tutarlar mıydı,tutarlar mıydı
ağlaşmış olacak,ağlaşmış olacak
yerküre bilimcisini,yerküre bilimcisii
sosunda,sosunda
ayarlattırıyor olacakmış,ayarlattırıyor olacakmış
buharlaşıyor olurdun,buharlaşıyor olurdun
duruyor olmayacak mıyız,duruyor olmayacak mıyız
kaçırmıyordunuz,kaçırmıyordunuz
bilmiş olacaktım,bilmiş olacaktım
sunuluyor olur muydum,sunuluyor olur muydum
arıyor olacak mıydı,arıyor olacak mıydı
susmadı mıydık,susmadı mıydık
hastadan,hastandan
kesmiş olmayacak mıyız,kesmiş olmayacak mıyız
kuruyacaklar,kuruyacaklar
ütüleri,ütüleri
kimyasal tepkimelerden,kimyasal tepkimelere
kuyumcuydunuz,kuyumcuydunuz
kötüleşmiyordunuz,kötüleşmiyordunuz
yanıt veriyor olacaklardı,yanıt veriyor olacaklardı
tıkmaz mı,tıkmaz mı
sıkacak olmayacak mısınız,sıkacak olmayacak mısınız
sendromları,sendromları
İngilizceleştiriyor olmamalı mıydık,İngilizceleştiriyor olmamalı mıydık
memleketleriniz,memleketleriniz
kızmaz mısınız,kızmaz mısınız
tütmüyormuş,tütmüyormuş
dindarlıklarında,dindarlıklarında
sürünecek olmayacakmışsınız,sürünecek olmayacakmışsınız
semercilerinizi,semercinizi
gerçek sayılarınızı,gerçek sayınızı
öpmeli miydin,öpmeli miydin
dirememiş misiniz,dirememiş mi
çökerler,çökerler
burkuyorsun,burkuyorsun
canlandırtacak olmayacağız,canlandırtacak olmayacağız
el sıkışıyor olmamalı mıydık,el sıkışıyor olmamalı mıydık
iblisler,iblisleri
yalvarmayacak mıydım,yalvarmayacak mıydım
satın almazdı,satın almazdı
doyar olacakmışsınız,doyar olacakmışsınız
gaflarımızda,gaflarımız
onarır olmayacakmış,onarır olmayacakmış
sahipleriniz,sahipleriniz
ağır mıydık?,ağır mıydık?
işitmeyin,işitme
dadanıyor olmamalıymışsınız,dadanıyor olmamalıymışsınız
voleybolların,voleybolların
kıllığında,kıllığı
hüzünlerinizi,hüzünlerinizi
hormonal sistemlerinize,hormonal sistemlerinize
solmamalıydım,solmamalıydım
sevabında,sevapında
fulyaya,fulyana
parasızlığa,parasızlıkta
istiyor olmalı mıydınız,istiyor olmalı mıydınız
yeniliyor olmalıymışım,yeniliyor olmalıymışım
ekşitmeli miydi,ekşitmeli miydi
fevt olmeli mi,fevt olmeli mi
daldırmış olmayacak mıyız,daldırmış olmayacağız
sökmeyecek miymişim,sökmeyecek miymişim
kovmamamış mıymışız,kovmamamış mıymışız
korsanlardı,korsanlardı
çağıracak olacaklar mıymış,çağıracak olacaklar mı?
kanamış olacak mıydık,kanamış olacak mıydık
kaynaştırılıyor olmalı mıyım,kaynaştırılıyor olmalı mıyım
pisletecek olmayacaklar,pisletecek olmayacaklar
yontuluyor olmamalı mıymış,yontuluyor olmamalı mıymış
gidiliyorlardı,gidiliyorlardı
verimsizleştirmişlermiş,verimsizleştirmişlermiş
solmuş olacak mıydık,solucu olacak mıydık
programlattırmadı,programlattırmadı
yendirmiyor,yendirmiyor
mantimiz,mantimiz
sığacak olmayacakmışım,sığacak olmayacakmışım
yendiriyor olmamalı mıydık,yendiriyor olmamalı mıydık
olmuyordu,olmuyordu
daldık,daldık
ağlarını,ağları
polinomunu,polinomunu
tükenmemeli miyiz,tükenmemeli miyiz
karıştırmayacaktınız,karıştırmayacaktınız
eğlenmeyiz,eğlenmem
sanıyor olmamalıymışsınız,sanıyor olmamalıymışsınız
dirilmiyor olmalılar mı,dirilmiyor olmalılar mı
sabanlarımızın,sabanlarımızın
güzelleştiriyor olmayacak mıymışsın,güzelleştiriyor olmayacak mıymışsın
aşık atıyor olmamalıymışım,aşık atıyor olmamalıymışım
oyalameli,oyalameli
süngü,süngüyü
bluzsuzlarında,bluzsuzları
dedikodu yaparlardı,dedikodu yaparlardı
âşık olduydunuz,âşık olduydunuz
güdümlerini,güdümleri
kalmıyor muymuşsun,kalıyor muymuşsun
sunucularınızı,sunucularınız
vurmaz mıyım,vurmaz mıyım
böceklerinin,böceklerinin
kısrağından,kısrakından
seks yapıyor olmalı mıymış,seks yapıyor olmalı mı
penisimiz,penisimiz
hata yapacak olacak mıymışsınız,hata yapacak olacak mıymışsınız
damatmışsınız,damatmışsınız
beklemeyi,beklemeyi
dalgalandırmış olacaklar,dalgalandırmış olacaklar
onurlar,onurları
nergisleri,nergisleri
durmalıymış,durmalıymış
doymayacaklar,doymayacaklar
utanmamalı mıydınız,utanmameli miydiniz
doğuymuşum,doğuymuşum
emlakçılarını,emlakçıları
keşimize,keşimize
birleştirtiyorduk,birleştirtiyorduk
kırmızı şarabından,kırmızı şarabından
ayarlanıyor olmaz mıydım,ayarlanıyor olmaz mıydım
mortoyu çekmiş olacaktık,mortoyu çekmiş olacaktık
izolasyonumuz,izolasyonumuz
zağarlarsınız,zağarlarsınız
cennetlerin,cennetlerinin
hareket ediyorsun,hareket ediyorsun
salmış mısın,salmış mı
ürkmüş olmayacaksın,ürkmüş olmayacaksın
küçüldü müydüm,küçüldü müydüm
gerinmeli miydim,gerinmeli miydim
yediriyor olacak mıymışız,yediriyor olacak mıymışız
çarpmamalı mıydınız,çarpmameli miydiniz
taşmayacakmışız,taşacakmışız
nefes aldırtıyor olmalılar mıydı,nefes aldırtıyor olmalılar mıydı
bıkmaz mıymışsınız,bıkar mıymışsınız
kanıtlarlardı,kanıtlardı
acıtmadın mı,acıtmadın mı
küsmüş olacaksın,küsmüş olacaksın
kötüleşiyordu,kötüleşiyordu
biliyor olmayacaklarmış,biliyor olmayacaklarmış
çıkacak mıyım,çıkacak mıyım
hayırseverin,hayırseveri
acıtmayın,acıtma
acıtmışlar mıydı,acıtmış mıydı
itmeliler miymiş,itmeliler mi
yumuyor olacaklar mıydı,yumuyor olacaklar mıydı
helak olmayacaksınız,helak olmayacaksınız
gondollarınızın,gondolunuzun
sıvılaştırıyor olmamalı mıydık,sıvılaştırıyor olmamalı mıydık
süründürmeliydik,süründürmeliydik
